id,source,relation,target
0,59,hypernym,1000108
1,325,hypernym,1000160
2,341,hypernym,325
3,347,hypernym,16047
4,376,hypernym,18711
5,427,hypernym,18136
6,435,hypernym,1000172
7,716,hypernym,1000172
8,722,hypernym,1000108
9,723,hypernym,1000067
10,725,hypernym,722
11,726,hypernym,722
12,727,hypernym,722
13,728,hypernym,722
14,729,hypernym,722
15,730,hypernym,18712
16,731,hypernym,722
17,732,hypernym,1000004
18,733,hypernym,722
19,734,hypernym,722
20,736,hypernym,722
21,737,hypernym,722
22,738,hypernym,722
23,739,hypernym,722
24,740,hypernym,722
25,741,hypernym,18712
26,742,hypernym,740
27,745,hypernym,722
28,746,hypernym,722
29,747,hypernym,756
30,748,hypernym,722
31,749,hypernym,722
32,750,hypernym,723
33,751,hypernym,722
34,752,hypernym,722
35,753,hypernym,766
36,754,hypernym,722
37,755,hypernym,722
38,756,hypernym,722
39,757,hypernym,722
40,758,hypernym,722
41,759,hypernym,722
42,760,hypernym,722
43,761,hypernym,798
44,762,hypernym,722
45,764,hypernym,722
46,766,hypernym,722
47,767,hypernym,766
48,768,hypernym,722
49,769,hypernym,722
50,770,hypernym,722
51,771,hypernym,722
52,772,hypernym,722
53,773,hypernym,722
54,774,hypernym,722
55,775,hypernym,722
56,776,hypernym,722
57,777,hypernym,722
58,779,hypernym,722
59,780,hypernym,783
60,781,hypernym,766
61,782,hypernym,722
62,783,hypernym,722
63,784,hypernym,722
64,785,hypernym,722
65,786,hypernym,722
66,787,hypernym,722
67,788,hypernym,741
68,789,hypernym,722
69,790,hypernym,722
70,791,hypernym,722
71,792,hypernym,722
72,793,hypernym,789
73,794,hypernym,738
74,798,hypernym,722
75,972,hypernym,1000172
76,976,hypernym,1000131
77,1026,hypernym,1000025
78,1034,hypernym,1000159
79,1045,hypernym,1026
80,1074,hypernym,1000172
81,1092,hypernym,1000008
82,1193,hypernym,1000052
83,1208,hypernym,1000006
84,1209,hypernym,1000006
85,1213,hypernym,1000006
86,1214,hypernym,1000006
87,1216,hypernym,1000006
88,1225,hypernym,1000006
89,1236,hypernym,1000168
90,1237,hypernym,1236
91,1238,hypernym,1236
92,1240,hypernym,1236
93,1241,hypernym,1236
94,1244,hypernym,1236
95,1247,hypernym,1000067
96,1254,hypernym,722
97,1257,hypernym,776
98,1429,hypernym,1000108
99,1430,hypernym,722
100,1436,hypernym,1000172
101,1437,hypernym,2436
102,1445,hypernym,12054
103,1502,hypernym,1000026
104,1508,hypernym,1000025
105,1512,hypernym,1000108
106,1523,hypernym,1000009
107,1533,hypernym,1000007
108,1587,hypernym,1000031
109,1597,hypernym,15833
110,1759,hypernym,1000001
111,1767,hypernym,1000018
112,1768,hypernym,1000042
113,1769,hypernym,1000108
114,1776,hypernym,1000172
115,1777,hypernym,1768
116,1778,hypernym,1000043
117,1779,hypernym,1000026
118,1842,hypernym,1000172
119,1867,hypernym,1000108
120,1868,hypernym,1000108
121,1869,hypernym,1000108
122,1870,hypernym,12346
123,1871,hypernym,1000108
124,1937,hypernym,1000108
125,1938,hypernym,1000092
126,1974,hypernym,1000017
127,1975,hypernym,1000017
128,2019,hypernym,1000108
129,2027,hypernym,1000011
130,2036,hypernym,1000025
131,2038,hypernym,2036
132,2039,hypernym,2036
133,2041,hypernym,7792
134,2043,hypernym,2064
135,2044,hypernym,2036
136,2056,hypernym,2036
137,2057,hypernym,1000025
138,2060,hypernym,1000011
139,2064,hypernym,2036
140,2126,hypernym,1000018
141,2144,hypernym,1000018
142,2247,hypernym,1000020
143,2251,hypernym,1000020
144,2252,hypernym,1000020
145,2253,hypernym,1000020
146,2255,hypernym,1000020
147,2256,hypernym,1000020
148,2264,hypernym,1000071
149,2266,hypernym,1000128
150,2274,hypernym,1000026
151,2277,hypernym,2274
152,2278,hypernym,2274
153,2280,hypernym,2274
154,2281,hypernym,2280
155,2285,hypernym,1000023
156,2305,hypernym,1000044
157,2340,hypernym,1000108
158,2433,hypernym,1000108
159,2434,hypernym,1000108
160,2436,hypernym,1000108
161,2475,hypernym,1000178
162,2532,hypernym,2912
163,2599,hypernym,1000141
164,2762,hypernym,1000050
165,2769,hypernym,1000025
166,2787,hypernym,1000108
167,2788,hypernym,8155
168,2789,hypernym,1000108
169,2790,hypernym,8158
170,2791,hypernym,12984
171,2792,hypernym,12984
172,2793,hypernym,8158
173,2794,hypernym,2787
174,2816,hypernym,1000026
175,2817,hypernym,2816
176,2819,hypernym,2816
177,2830,hypernym,1000108
178,2838,hypernym,1000108
179,2839,hypernym,2838
180,2840,hypernym,2838
181,2841,hypernym,2838
182,2842,hypernym,2838
183,2844,hypernym,2838
184,2845,hypernym,1000108
185,2861,hypernym,1000095
186,2869,hypernym,1000040
187,2896,hypernym,1000128
188,2912,hypernym,1000041
189,3002,hypernym,1938
190,3014,hypernym,1000108
191,3015,hypernym,3014
192,3016,hypernym,3014
193,3017,hypernym,3014
194,3018,hypernym,3014
195,3019,hypernym,3014
196,3020,hypernym,3014
197,3021,hypernym,3014
198,3022,hypernym,3014
199,3023,hypernym,3014
200,3024,hypernym,3021
201,3025,hypernym,3014
202,3026,hypernym,3014
203,3027,hypernym,3014
204,3029,hypernym,1000004
205,3030,hypernym,3014
206,3031,hypernym,3014
207,3032,hypernym,3014
208,3033,hypernym,3014
209,3035,hypernym,1000089
210,3036,hypernym,3014
211,3043,hypernym,1000158
212,3048,hypernym,3043
213,3142,hypernym,1000178
214,3206,hypernym,11425
215,3319,hypernym,1000172
216,3321,hypernym,18711
217,3462,hypernym,1000026
218,3756,hypernym,3776
219,3758,hypernym,1000051
220,3759,hypernym,1000138
221,3760,hypernym,1000051
222,3763,hypernym,1000051
223,3765,hypernym,1000051
224,3766,hypernym,1000051
225,3767,hypernym,1000051
226,3768,hypernym,1000051
227,3769,hypernym,1000051
228,3770,hypernym,1000051
229,3773,hypernym,1000051
230,3774,hypernym,1000051
231,3775,hypernym,1000051
232,3776,hypernym,1000051
233,3777,hypernym,1000051
234,3957,hypernym,1000120
235,3982,hypernym,1000032
236,4187,hypernym,1000108
237,4190,hypernym,1000108
238,4237,hypernym,1000108
239,4238,hypernym,1512
240,4249,hypernym,16047
241,4615,hypernym,7641
242,4616,hypernym,18709
243,4617,hypernym,4743
244,4618,hypernym,1000166
245,4619,hypernym,1000166
246,4620,hypernym,4615
247,4621,hypernym,4615
248,4622,hypernym,4616
249,4624,hypernym,1000021
250,4626,hypernym,4616
251,4627,hypernym,4615
252,4628,hypernym,1000165
253,4629,hypernym,1000153
254,4630,hypernym,4616
255,4631,hypernym,4615
256,4632,hypernym,4615
257,4633,hypernym,1000172
258,4634,hypernym,4615
259,4635,hypernym,1000015
260,4636,hypernym,4615
261,4650,hypernym,9822
262,4674,hypernym,1000020
263,4676,hypernym,1000025
264,4678,hypernym,1000172
265,4682,hypernym,1000150
266,4683,hypernym,1000034
267,4687,hypernym,1000030
268,4713,hypernym,1000036
269,4717,hypernym,1000036
270,4719,hypernym,1000021
271,4740,hypernym,1000128
272,4741,hypernym,1000128
273,4742,hypernym,1000128
274,4743,hypernym,1000093
275,4755,hypernym,1000172
276,4760,hypernym,1000033
277,5002,hypernym,1000064
278,5074,hypernym,1000108
279,5103,hypernym,18933
280,5326,hypernym,1000027
281,5340,hypernym,1000056
282,5466,hypernym,15833
283,5587,hypernym,1000042
284,5608,hypernym,1000025
285,5646,hypernym,1000108
286,5647,hypernym,10855
287,5744,hypernym,1000072
288,5760,hypernym,1000025
289,5761,hypernym,18712
290,5762,hypernym,1000140
291,5763,hypernym,5760
292,5764,hypernym,5760
293,5765,hypernym,5760
294,5766,hypernym,5760
295,5767,hypernym,1000108
296,5768,hypernym,5760
297,5769,hypernym,5760
298,5770,hypernym,5764
299,5771,hypernym,5760
300,5772,hypernym,18711
301,5774,hypernym,1000059
302,5776,hypernym,1000059
303,5818,hypernym,1000042
304,5855,hypernym,1000117
305,6034,hypernym,1000049
306,6043,hypernym,1000016
307,6058,hypernym,1000035
308,6149,hypernym,1000034
309,6158,hypernym,1000136
310,6161,hypernym,1000172
311,6218,hypernym,1000074
312,6241,hypernym,1000147
313,6411,hypernym,6428
314,6413,hypernym,6411
315,6414,hypernym,1000062
316,6415,hypernym,6411
317,6416,hypernym,6411
318,6417,hypernym,6411
319,6420,hypernym,1000062
320,6421,hypernym,1000172
321,6422,hypernym,1000002
322,6425,hypernym,6411
323,6427,hypernym,1000172
324,6428,hypernym,1000108
325,6430,hypernym,1000172
326,6432,hypernym,1000062
327,6433,hypernym,6411
328,6434,hypernym,6411
329,6436,hypernym,6411
330,6965,hypernym,1000172
331,6973,hypernym,783
332,6985,hypernym,1000172
333,7032,hypernym,18712
334,7413,hypernym,1000042
335,7432,hypernym,7413
336,7457,hypernym,7413
337,7468,hypernym,7413
338,7474,hypernym,7413
339,7475,hypernym,7413
340,7477,hypernym,7413
341,7523,hypernym,1000113
342,7538,hypernym,1000084
343,7543,hypernym,722
344,7546,hypernym,1000070
345,7551,hypernym,1000069
346,7586,hypernym,1000135
347,7641,hypernym,13870
348,7643,hypernym,7647
349,7644,hypernym,7641
350,7645,hypernym,7641
351,7646,hypernym,7641
352,7647,hypernym,7641
353,7648,hypernym,18709
354,7649,hypernym,7641
355,7651,hypernym,18136
356,7672,hypernym,1000098
357,7716,hypernym,15833
358,7792,hypernym,1000166
359,7793,hypernym,1768
360,7799,hypernym,1000108
361,7800,hypernym,1000108
362,7810,hypernym,1000103
363,8049,hypernym,18712
364,8066,hypernym,1000058
365,8067,hypernym,2340
366,8068,hypernym,8066
367,8070,hypernym,7792
368,8071,hypernym,8067
369,8140,hypernym,15833
370,8155,hypernym,1000024
371,8157,hypernym,1000108
372,8158,hypernym,8157
373,8299,hypernym,1000108
