id,word,pos,meaning,example
59,ám,d,"món ăn nấu nguyên cả con cá hoặc khúc cá to đã được rán vàng với gạo, nhiều nước và các thứ rau thơm",#nấu món ám #cháo ám
325,ba chỉ,d,"phần thịt lợn ở vùng bụng, có ba thớ nạc xen với mỡ",#thịt ba chỉ #mua miếng ba chỉ
341,ba rọi,d,ba chỉ,#thịt ba rọi
347,ba xị đế,d,rượu trắng,"#""(...) tôi đang còn đói, món gì mà chẳng ngon, có dè đâu lại được cái món ngon tuyệt vời này với rượu đế."" (Nguyễn Quang Sáng; 10)"
376,bả,d,thức ăn có thuốc độc dùng làm mồi để lừa giết thú vật nhỏ,"#bả chuột #""(...) hắn chuyên đi thả mồi trộn bằng (...) nhân ngôn, thính và thịt để đánh bả chó."" (Nguyễn Đình Lạp; 2)"
427,bạc nhạc,d,"thịt chỉ có màng dai không có nạc [thường là thịt bò, thịt trâu]","#miếng bạc nhạc #""Tay ai cũng xách các thức ăn. Người này một xâu cá mè. Người kia một dây những miếng thịt trâu bạc nhạc (...)"" (Tô Hoài; 34)"
435,bách hoá,d,"[buôn bán] các mặt hàng tiêu dùng, chủ yếu là đồ may mặc và đồ dùng thường ngày [nói tổng quát]",#cửa hàng bách hoá #bán bách hoá
716,bạng nhạng,d,bạc nhạc,#miếng thịt bạng nhạng
722,bánh,d,"món ăn chín có hình khối nhất định, chế biến bằng bột hoặc gạo, thường có thêm chất ngọt, mặn, béo",#nhân bánh #xay bột làm bánh
723,bánh,d,từ dùng để chỉ từng đơn vị có hình khối bề ngoài giống như chiếc bánh,#bánh xà phòng #bánh pháo #thuốc lào đóng thành bánh
725,bánh bàng,d,"bánh nhỏ hình quả bàng, làm bằng bột mì, đường và trứng, nướng chín trong lò",
726,bánh bao,d,"bánh làm bằng bột mì ủ men, hấp chín, có nhân mặn hoặc ngọt",#bánh bao chay (không có nhân)
727,bánh bèo,d,"bánh làm bằng bột gạo tẻ xay ướt, đổ vào bát hoặc vào khuôn rồi hấp chín, trên rắc hành mỡ, ruốc tôm, hình giống cánh bèo",
728,bánh bò,d,"bánh làm bằng bột gạo tẻ ủ với đường và men, khi hấp chín thì nở to, mềm và xốp",
729,bánh bỏng,d,"bánh làm bằng gạo nếp rang thành bỏng, trộn với mật thành từng nắm",
730,bánh canh,d,"thức ăn làm bằng bột nhào kĩ rồi cắt thành sợi, nấu với tôm, cua, thịt",
731,bánh cáy,d,"bánh làm bằng bột gạo nếp rang, trộn với vừng, lạc, gừng, dừa, gấc, mỡ lợn, mạch nha và hương liệu, được đóng thành bánh và có màu giống màu trứng con cáy, ăn có vị ngọt, bùi, cay [một đặc sản của tỉnh Thái Bình]",
732,bánh cắt,d,"bánh ngọt, nhân hoặc kem kẹp giữa hai lớp bột, nướng chín từng mảng trong lò và cắt thành miếng",
733,bánh chả,d,"bánh làm bằng bột mì trộn với đường và thịt băm nhỏ, nướng chín trong lò",
734,bánh chay,d,"bánh hình tròn, dẹt, làm bằng bột nếp, nhân đậu xanh, luộc chín rồi thả vào nước đường sánh, làm phổ biến vào dịp Tết Hàn Thực [mồng 3 tháng 3 âm lịch]",
736,bánh chưng,d,"bánh làm bằng gạo nếp, có nhân đậu xanh và thịt, thường gói bằng lá dong và có hình vuông, luộc kĩ, làm phổ biến vào dịp Tết Nguyên Đán","#""Thiên hạ ngày tết gói bánh chưng vuông, bánh chưng làng tôi lại tròn và dài như cây cột."" (Đỗ Chu; 3)"
737,bánh cốm,d,"bánh làm bằng cốm dẻo ngào với nước đường, có nhân đậu xanh và cùi dừa, thường gói bằng lá chuối tươi thành hình vuông",
738,bánh cuốn,d,"bánh làm bằng bột gạo tẻ xay ướt, tráng mỏng, hấp chín rồi cuộn lại, thường có nhân tôm hoặc hành mỡ",
739,bánh dẻo,d,"bánh ngọt và dẻo, làm bằng bột gạo nếp rang trộn với nước đường, thường có nhân mứt, mỡ, làm phổ biến vào dịp Tết Trung Thu",
740,bánh đa,d,"bánh thường làm bằng bột gạo tẻ hay sắn, khoai, v.v. xay ướt, tráng thành tấm mỏng hình tròn, thường có rắc vừng rồi phơi khô, khi ăn thì nướng lên","#""Gái sao chồng đánh chẳng chừa, Đi chợ vẫn giữ cũi dừa, bánh đa."" (Cdao)"
741,bánh đa,d,"thức ăn làm bằng bột gạo tráng mỏng, cắt thành sợi",#canh bánh đa cua
742,bánh đa nem,d,"bánh đa dùng để gói nem hay cuốn gỏi ăn sống, hình tròn hoặc vuông, để thành xấp, làm bằng bột gạo tráng mỏng",
745,bánh đậu xanh,d,"bánh làm bằng bột đậu xanh rang thơm trộn với đường, nén vào khuôn nhỏ",
746,bánh đúc,d,"bánh nấu bằng bột gạo tẻ hoặc bột ngô quấy với nước vôi trong và hàn the, khi chín đổ ra cho đông thành tảng",#quấy bánh đúc #má bánh đúc (má tròn đầy phinh phính)
747,bánh ếch,d,bánh ít,"#""Muốn ăn bánh ếch lá gai, Lấy chồng Bình Định sợ dài đường đi."" (Cdao)"
748,bánh gai,d,"bánh làm bằng bột gạo nếp và lá gai luộc chín, giã nhuyễn, trộn với mật, có nhân đậu xanh và cùi dừa, gói bằng lá chuối khô, hấp chín",
749,bánh giầy,d,"bánh làm bằng xôi giã thật mịn, nặn thành hình tròn, dẹt, không có nhân hoặc có nhân đậu xanh",
750,bánh gio,d,bánh tro,
751,bánh giò,d,"bánh làm bằng bột gạo tẻ, có nhân thịt, hành, mộc nhĩ, gói bằng lá chuối thành hình củ ấu, luộc chín",
752,bánh gối,d,"bánh nhân thịt, miến, v.v., bọc trong vỏ bột gói giống như cái gối hình bán nguyệt có riềm, đem rán vàng, ăn với nước chấm và rau sống",
753,bánh gối,d,bánh mì gối [nói tắt],
754,bánh hỏi,d,"bánh làm bằng bột gạo tẻ, hấp chín thành từng sợi nhỏ hơn bún, ăn với thịt quay hoặc nem [thường có ở miền Nam]","#""Chín năm ở Hà Nội, thịt heo quay ở chợ nào cũng có, nhưng không thấy đâu có bánh hỏi."" (Nguyễn Quang Sáng; 10)"
755,bánh in,d,"bánh làm bằng bột gạo nếp hay bột đậu xanh rang trộn với đường, nén vào khuôn nhỏ [thường có ở miền Trung và miền Nam]",
